2017-07-02 13:10:22.1272|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-02 13:10:22.1432|0|IdentityModel.AspNetCore.ScopeValidation.ScopeValidationMiddleware|DEBUG|  Skipping scope validation because user is anonymous |url: |action: 
2017-07-02 13:10:22.4486|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-02 13:10:22.4486|0|IdentityModel.AspNetCore.ScopeValidation.ScopeValidationMiddleware|DEBUG|  Skipping scope validation because user is anonymous |url: |action: 
2017-07-02 13:10:22.4486|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-02 13:10:22.4486|0|IdentityModel.AspNetCore.ScopeValidation.ScopeValidationMiddleware|DEBUG|  Skipping scope validation because user is anonymous |url: |action: 
2017-07-02 13:10:22.4486|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-02 13:10:22.4965|0|IdentityModel.AspNetCore.ScopeValidation.ScopeValidationMiddleware|DEBUG|  Skipping scope validation because user is anonymous |url: |action: 
2017-07-02 13:10:22.4965|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-02 13:10:22.4965|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-02 13:10:22.4965|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-02 13:10:22.4965|0|IdentityModel.AspNetCore.ScopeValidation.ScopeValidationMiddleware|DEBUG|  Skipping scope validation because user is anonymous |url: |action: 
2017-07-02 13:10:22.4965|0|IdentityModel.AspNetCore.ScopeValidation.ScopeValidationMiddleware|DEBUG|  Skipping scope validation because user is anonymous |url: |action: 
2017-07-02 13:10:22.4965|0|IdentityModel.AspNetCore.ScopeValidation.ScopeValidationMiddleware|DEBUG|  Skipping scope validation because user is anonymous |url: |action: 
2017-07-02 13:10:22.5265|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-02 13:10:22.5265|0|IdentityModel.AspNetCore.ScopeValidation.ScopeValidationMiddleware|DEBUG|  Skipping scope validation because user is anonymous |url: |action: 
