2017-07-04 21:13:57.8676|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.2791|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.3156|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.2791|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.3156|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.3226|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.3581|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.4066|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.4066|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.4161|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.4066|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.4431|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
2017-07-04 21:13:58.4636|7|IdentityServer4.AccessTokenValidation.Infrastructure.NopAuthenticationMiddleware|INFO|  Bearer was not authenticated. Failure message: No token found. |url: |action: 
